gse	srx	srr	gsm	condition	type	sampleType	index
GSE100007	SRX2916238	SRR5680913	GSM2667787	control	rpf	hESC	1
GSE100007	SRX2916240	SRR5680915	GSM2667789	control	rna	hESC	1
GSE100007	SRX2916239	SRR5680914	GSM2667788	control	rpf	hESC	2
GSE100007	SRX2916241	SRR5680916	GSM2667790	control	rna	hESC	2
GSE100007	SRX2916242	SRR5680917	GSM2667791	control	rpf	Neural progenitor cell	3
GSE100007	SRX2916244	SRR5680919	GSM2667793	control	rna	Neural progenitor cell	3
GSE100007	SRX2916243	SRR5680918	GSM2667792	control	rpf	Neural progenitor cell	4
GSE100007	SRX2916245	SRR5680920	GSM2667794	control	rna	Neural progenitor cell	4
GSE100007	SRX2916246	SRR5680921	GSM2667795	control	rpf	Neural_d14	5
GSE100007	SRX2916248	SRR5680923	GSM2667797	control	rna	Neural_d14	5
GSE100007	SRX2916247	SRR5680922	GSM2667796	control	rpf	Neural_d14	6
GSE100007	SRX2916249	SRR5680924	GSM2667798	control	rna	Neural_d14	6
GSE101760	SRX3028093	SRR5859396	GSM2714725	control	rpf	A549	7
GSE101760	SRX3028097	SRR5859400	GSM2714729	control	rna	A549	7
GSE101760	SRX3028094	SRR5859397	GSM2714726	treatment	rpf	A549	8
GSE101760	SRX3028098	SRR5859401	GSM2714730	treatment	rna	A549	8
GSE101760	SRX3028095	SRR5859398	GSM2714727	treatment	rpf	A549	9
GSE101760	SRX3028099	SRR5859402	GSM2714731	treatment	rna	A549	9
GSE101760	SRX3028096	SRR5859399	GSM2714728	treatment	rpf	A549	10
GSE101760	SRX3028100	SRR5859403	GSM2714732	treatment	rna	A549	10
GSE101760	SRX3028101	SRR5859404	GSM2714733	treatment	rna	A549	11
GSE101760	SRX3028105	SRR5859408	GSM2714737	treatment	rpf	A549	11
GSE101760	SRX3028102	SRR5859405	GSM2714734	control	rna	A549	12
GSE101760	SRX3028106	SRR5859409	GSM2714738	control	rpf	A549	12
GSE101760	SRX3028103	SRR5859406	GSM2714735	treatment	rna	A549	13
GSE101760	SRX3028107	SRR5859410	GSM2714739	treatment	rpf	A549	13
GSE101760	SRX3028104	SRR5859407	GSM2714736	treatment	rna	A549	14
GSE101760	SRX3028108	SRR5859411	GSM2714740	treatment	rpf	A549	14
GSE102040	SRX3048920	SRR5882585	GSM2722300	control	rna	HEK293T	15
GSE102040	SRX3048921	SRR5882586	GSM2722301	control	rpf	HEK293T	15
GSE104329	SRX3222180	SRR6107147	GSM2795496	treatment	rna	CFBE41o-	16
GSE104329	SRX3222181	SRR6107148	GSM2795497	treatment	rpf	CFBE41o-	16
