,Bottom(20%),Low(20%),Medium(20%),High(20%),Top(20%)
0,0.0106752,0.010063732,0.010361039,0.008621485,0.012328187
1,0.015905904,0.014457628,0.01441829,0.013085538,0.016740058
2,0.018256592,0.018761981,0.019428747,0.016810121,0.021934787
3,0.021356598,0.021695126,0.022547249,0.020508721,0.02768929
4,0.026066327,0.024322249,0.025495531,0.02344583,0.030754952
5,0.025730316,0.027009722,0.026280086,0.02362427,0.031758603
6,0.028104965,0.026463173,0.027190398,0.02544224,0.03445038
7,0.026834702,0.027275294,0.027738342,0.025892466,0.035854742
8,0.027430322,0.02792547,0.028837444,0.028241683,0.0358476
9,0.02626094,0.027325079,0.029269269,0.029420821,0.035576772
10,0.027304292,0.026969768,0.029156683,0.028744267,0.037606813
11,0.027227767,0.029279638,0.028881067,0.028024582,0.036556292
12,0.02641956,0.028103214,0.029607758,0.027838966,0.038288005
13,0.025126236,0.028888999,0.027147794,0.028044974,0.036549013
14,0.027129024,0.031243563,0.03017724,0.028506817,0.035536747
15,0.0267191,0.03000899,0.029124916,0.02783419,0.03589214
16,0.027070932,0.02994891,0.028851945,0.028629113,0.036147516
17,0.026644869,0.029108878,0.030005489,0.029428665,0.037480336
18,0.028040355,0.028625892,0.028546028,0.029087752,0.03870323
19,0.027330015,0.029240446,0.02888859,0.028169202,0.039374866
20,0.027182123,0.028356135,0.027765736,0.028179714,0.03762179
21,0.027821237,0.028474452,0.030583085,0.028153077,0.039529383
22,0.028533872,0.028852534,0.02882053,0.027774764,0.03688961
23,0.02776238,0.028374434,0.029068628,0.026179787,0.03871959
24,0.02780628,0.027403113,0.030478256,0.027219424,0.037924655
25,0.026486289,0.027058646,0.02940494,0.029073061,0.039000742
26,0.027878106,0.028537413,0.030481845,0.028215162,0.03943816
27,0.027884372,0.029124817,0.028828574,0.028466305,0.03967988
28,0.027544256,0.027642103,0.030892782,0.02861151,0.03725576
29,0.026227614,0.0284789,0.029437842,0.02852105,0.036204357
30,0.027621659,0.028064486,0.029927382,0.028502049,0.035043616
31,0.02729512,0.027956637,0.028689763,0.02742212,0.036324445
32,0.027733507,0.029046558,0.02927315,0.028225794,0.034320936
33,0.02734303,0.027856529,0.028841214,0.02839095,0.034223773
34,0.027868522,0.028825538,0.028275283,0.029104663,0.035922155
35,0.027909905,0.028745193,0.028971141,0.02728208,0.035730347
36,0.02640697,0.028543668,0.028398247,0.028320448,0.03640725
37,0.02791175,0.029988581,0.028473658,0.02925916,0.036843866
38,0.028086107,0.028554477,0.029022153,0.02846669,0.036045246
39,0.027216498,0.02952616,0.029343078,0.029964037,0.03729091
40,0.027877588,0.02808466,0.029270817,0.027335597,0.035700023
41,0.02758223,0.0279903,0.029536918,0.028014822,0.036008667
42,0.027058108,0.02841551,0.029329887,0.026836641,0.035294965
43,0.026986614,0.028262984,0.029503256,0.02657989,0.033861663
44,0.026646761,0.027517213,0.02794242,0.024898497,0.032134213
45,0.026322613,0.027487481,0.028523965,0.025589343,0.03463704
46,0.02645359,0.028682493,0.0287181,0.026712248,0.035335194
47,0.025971256,0.027675055,0.02802777,0.026839508,0.03495978
48,0.027190136,0.028284118,0.028266586,0.027077194,0.034313377
49,0.026234703,0.027787575,0.027805286,0.028767085,0.03483628
50,0.026663925,0.027657222,0.028334629,0.027852513,0.035346214
51,0.026163341,0.027911766,0.028236572,0.027070425,0.03273995
52,0.025123416,0.02724679,0.028759794,0.026102046,0.037186533
53,0.025147496,0.027649427,0.02732408,0.026663253,0.03549199
54,0.025741678,0.027097587,0.027374463,0.027133666,0.0339676
55,0.025918454,0.028207716,0.027354296,0.02615615,0.03459436
56,0.026029915,0.02760887,0.027595345,0.026668858,0.035938546
57,0.025749363,0.027631095,0.026716627,0.02711907,0.034763876
58,0.025129238,0.027864244,0.02750094,0.023632726,0.036852054
59,0.02663761,0.027907945,0.028577762,0.025916206,0.03342003
60,0.02644674,0.028300373,0.028118612,0.025945578,0.03499827
61,0.02600141,0.02827906,0.027661707,0.026885992,0.034612667
62,0.026774423,0.027501404,0.02912145,0.026336577,0.031839266
63,0.025929332,0.027090289,0.028905446,0.026994469,0.034536127
64,0.026346764,0.026695538,0.028574398,0.02725348,0.03290899
65,0.026373232,0.027159737,0.028458474,0.027352631,0.032673813
66,0.027383141,0.026753534,0.027401524,0.027031805,0.032376997
67,0.02646057,0.027332561,0.027120937,0.026264386,0.033325914
68,0.026343733,0.027020771,0.026461463,0.027429322,0.03365805
69,0.026768927,0.02682148,0.026990384,0.02700079,0.034540668
70,0.028250061,0.02712828,0.026410125,0.02757841,0.033668272
71,0.026780345,0.027266612,0.02750018,0.026531255,0.032964192
72,0.026356695,0.0278141,0.026946103,0.027504561,0.034804706
73,0.026855892,0.026364379,0.026984772,0.026829619,0.032312088
74,0.026322376,0.026732488,0.027338956,0.025999648,0.032565605
75,0.025954051,0.026833722,0.027337112,0.027243856,0.03337572
76,0.026299031,0.026746813,0.026155517,0.025261689,0.032838386
77,0.025844095,0.026261218,0.025884306,0.027125243,0.031180443
78,0.025959013,0.026666302,0.027127204,0.026961286,0.03332286
79,0.026758928,0.025932046,0.026219014,0.02696939,0.031904403
80,0.02630541,0.026543211,0.028011203,0.0259814,0.03394367
81,0.026058592,0.025746616,0.026464041,0.026488729,0.032977547
82,0.026630362,0.028729048,0.028401364,0.025948506,0.03286647
83,0.026029035,0.027082324,0.026897777,0.024960076,0.033085722
84,0.026884632,0.02672061,0.027228722,0.025110235,0.033812705
85,0.027617067,0.026128372,0.027602581,0.024544194,0.032219365
86,0.02512097,0.027410867,0.026695516,0.02440957,0.031967048
87,0.027303923,0.025927776,0.026916515,0.024339398,0.030150617
88,0.027196813,0.025813699,0.02771043,0.025283568,0.030243522
89,0.025707783,0.025337178,0.0275395,0.024519637,0.031087467
90,0.026170515,0.025867729,0.026426172,0.025186826,0.03180417
91,0.02546494,0.027234873,0.027380256,0.02582937,0.031064136
92,0.025412217,0.026505396,0.026907882,0.024749208,0.03150539
93,0.02538228,0.027133584,0.026064597,0.023755781,0.03119511
94,0.025226003,0.026832169,0.026692016,0.023569075,0.03016232
95,0.025404546,0.026292386,0.025327196,0.023666548,0.031951804
96,0.025755458,0.025763474,0.026827719,0.023456985,0.029729292
97,0.025896417,0.02656654,0.025353514,0.023496406,0.031212652
98,0.026055565,0.026949126,0.026838541,0.02280863,0.028493302
99,0.025260516,0.026480913,0.026812725,0.023411738,0.030488644
100,0.025910435,0.02689312,0.027075188,0.024409998,0.030691262
101,0.025175555,0.025608856,0.025692958,0.02532394,0.03155128
102,0.026201488,0.027115352,0.026694672,0.026137752,0.02933434
103,0.026239343,0.026320597,0.027048603,0.025466029,0.028600845
104,0.024540583,0.027447235,0.025113782,0.02607327,0.03051597
105,0.025764622,0.026124645,0.025285657,0.026784414,0.030586418
106,0.026122432,0.027020609,0.025445107,0.0262397,0.028201262
107,0.025140677,0.02572662,0.027104475,0.026021639,0.029151183
108,0.026203185,0.026031876,0.026342122,0.026605312,0.029052746
109,0.025327,0.026985385,0.0260262,0.026003059,0.029521706
110,0.026208479,0.026963377,0.0251248,0.026036622,0.029151734
111,0.026195562,0.026313014,0.025440177,0.025642017,0.030836027
112,0.025889019,0.0270606,0.02587329,0.02672917,0.028219916
113,0.025466973,0.026299777,0.025747312,0.026899757,0.029289411
114,0.025498753,0.025522586,0.02546095,0.025337264,0.02956775
115,0.023748202,0.025351787,0.02550223,0.027606333,0.029462427
116,0.024301175,0.02564121,0.025278902,0.025375884,0.030759698
117,0.025366189,0.025318539,0.025127575,0.025005763,0.029821722
118,0.02411518,0.026637629,0.026456475,0.024949057,0.028989214
119,0.024845488,0.025650905,0.025000084,0.024437476,0.029133638
120,0.02598021,0.025306033,0.027119283,0.024230292,0.029591106
121,0.025133958,0.026393969,0.02661976,0.024155488,0.03007698
122,0.024613546,0.026144706,0.026220456,0.02582035,0.029186614
123,0.025604889,0.026576873,0.02606657,0.024339266,0.028394816
124,0.025851242,0.026504312,0.025338344,0.024575008,0.027227657
125,0.026464187,0.02630827,0.025982238,0.023465931,0.02834303
